@relation touch-weka.filters.unsupervised.attribute.InterquartileRange-Rfirst-last-O3.0-E6.0-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C11-Llast-weka.filters.unsupervised.attribute.Remove-R11-12

@attribute pressure numeric
@attribute size numeric
@attribute touchmajor numeric
@attribute touchminor numeric
@attribute duration numeric
@attribute flytime numeric
@attribute shake numeric
@attribute orientation numeric
@attribute type numeric
@attribute class {fb58815420addb16,Others}

@data
0.17451,0.081306,138,96,70,129,16.350475,1,1,fb58815420addb16
0.17598,0.084955,144,100.5,112,283,11.660368,1,1,fb58815420addb16
0.165142,0.076905,132.66667,88.666664,105,24,75.78195,1,1,fb58815420addb16
0.171644,0.076014,130.61539,88.15385,129,184,51.305435,1,1,fb58815420addb16
0.159664,0.046759,72,62.57143,81,599,31.04517,1,1,fb58815420addb16
0.166667,0.048992,75,66,91,89,75.416565,1,1,fb58815420addb16
0.168954,0.079395,134.5,94,117,438,7.635972,1,1,fb58815420addb16
0.165686,0.052224,82.2,68.1,149,807,46.261288,1,1,fb58815420addb16
0.178711,0.120917,212.57143,135.42857,94,0,20.66979,1,1,Others
0.183878,0.126013,221.33333,141.33333,115,384,1.873514,1,1,Others
0.176471,0.086965,140.57143,109.71429,78,1174,58.204388,1,1,Others
